site_code,spc_code,popid,high_esc_goal,p_ip,est_hist_abund
Red_R,sthd,CRSFC-s,5000,0.3144495681700809,1572.2478408504046
Red_R,chnk,SCUMA,4000,0.3015718261108095,1206.287304443238
American_R,sthd,CRSFC-s,5000,0.1909283479747345,954.6417398736726
American_R,chnk,SCUMA,4000,0.2755794981529602,1102.3179926118407
Crooked_R,sthd,CRSFC-s,5000,0.09460132590257853,473.00662951289263
Crooked_R,chnk,SCUMA,4000,0.09061025618562923,362.44102474251696
Newsome_Cr,sthd,CRSFC-s,5000,0.11589648331707125,579.4824165853563
Newsome_Cr,chnk,SCUMA,4000,0.08852512606586452,354.10050426345805
Meadow_Cr_SFCW,sthd,CRSFC-s,5000,0.055604020065838124,278.0201003291906
Meadow_Cr_SFCW,chnk,SCUMA,4000,0.04855046259894464,194.20185039577856
Lolo_Cr,sthd,CRLOL-s,2500,0.9949320555112775,2487.330138778194
Lolo_Cr,chnk,CRLOL,2000,0.6456712189398445,1291.342437879689
OHara_Cr,sthd,CRSEL-s,5000,0.009227446923878578,46.13723461939289
OHara_Cr,chnk,SEMEA,2000,0.08854299067063912,177.08598134127823
Meadow_Cr_Sel,sthd,CRSEL-s,5000,0.12791888074218266,639.5944037109133
Meadow_Cr_Sel,chnk,SEMEA,2000,0.7996801042784094,1599.3602085568189
Pete_King_Cr,sthd,CRLOC-s,5000,0.033550826431414826,167.75413215707414
Pete_King_Cr,chnk,CRLOC,4000,0.020942340853972025,83.76936341588811
Legendary_Bear_Cr,sthd,CRLOC-s,5000,0.029431291210672995,147.15645605336496
Legendary_Bear_Cr,chnk,CRLOC,4000,0.019329898684205545,77.31959473682218
Fishing_Cr,sthd,CRLOC-s,5000,0.03456429327614361,172.82146638071805
Fishing_Cr,chnk,CRLOC,4000,0.023384724612056557,93.53889844822623
Lapwai_All,sthd,CRLMA-s,7500,0.1352095197477641,1014.0713981082307
Lapwai_All,chnk,CRLAP,3000,0.4010663258149024,1203.1989774447072
Sweetwater,sthd,CRLMA-s,7500,0.049003084921869625,367.5231369140222
Sweetwater,chnk,CRLAP,3000,0.13274135661812744,398.2240698543823
Lapwai_Mission,sthd,CRLMA-s,7500,0.05859990602846093,439.49929521345695
Lapwai_Mission,chnk,CRLAP,3000,0.18030956319102143,540.9286895730643
Big_Canyon_Cr,sthd,CRLMA-s,7500,0.1403566364811122,1052.6747736083416
Big_Canyon_Cr,chnk,CRLAP,3000,0.40392232396160077,1211.7669718848024
