site_code,stream,spc_code,popid,p_ip_length_w_curr,p_qrf_n,site_qrf_n
Shepp_Ranch,Crooked Creek,chnk,SFSMA,0.020800068179487652,0.2239053955693224,111.2598214769464
French_Creek_Public,French Creek,chnk,SFSMA,0,0.08190381389307984,40.69845520629176
Partridge_Creek_Public,Partridge Creek,chnk,SFSMA,0.0024952504655463706,0.009034039518116875,4.489063880955784
Warren_Wagon_Road,Warren Creek,chnk,SFSMA,0,0,0
Van_Creek_CG,Kelly Creek,chnk,SFSMA,0,0,0
Lake_Creek_Public,Lake Creek,chnk,SFSMA,0,0,0
Chamberlain_Airstrip_IDFG,Chamberlain Creek,chnk,SRCHA,0.3544666423648269,0.2873901981711785,170.86315074118625
Poet_Creek_CG,Bargamin Creek,chnk,SRCHA,0,0,0
LSR_IDFG,Little Salmon River,chnk,SRLSR,0.6269001958357934,0.4636942869015377,249.88088325853988
Slate_Creek_Private,Slate Creek,chnk,SRLSR,0.13297620414884406,0.1951232067262223,105.1502263846965
Slate_Creek_Work_Center,Slate Creek,chnk,SRLSR,0.09900049994740794,0.17132510183621177,92.32563130604731
NF_Slate_CG,Slate Creek,chnk,SRLSR,0.05912056111284286,0.13413747364948617,72.28553670043411
Shepp_Ranch,Crooked Creek,sthd,SRCHA-s,0.12193525882386143,0.144470012117841,231.19832455191613
Chamberlain_Airstrip_IDFG,Chamberlain Creek,sthd,SRCHA-s,0.15140194634509668,0.07166914100897832,114.6935968264141
Lake_Creek_Public,Lake Creek,sthd,SRCHA-s,0,0.021437353352833814,34.30663641088264
Van_Creek_CG,Kelly Creek,sthd,SRCHA-s,0,0.02142772542562539,34.29122864143025
Partridge_Creek_Public,Partridge Creek,sthd,SRCHA-s,0.0036727746762285334,0.020661427233457257,33.06490592200026
Warren_Wagon_Road,Warren Creek,sthd,SRCHA-s,0.04185103736215673,0.016195865846183335,25.91857641190559
French_Creek_Public,French Creek,sthd,SRCHA-s,0,1.7534921537531846e-4,0.2806149470881111
Poet_Creek_CG,Bargamin Creek,sthd,SRCHA-s,0,0,0
LSR_IDFG,Little Salmon River,sthd,SRLSR-s,0.44916427082798044,0.3380269606536086,288.39958029093555
Slate_Creek_Private,Slate Creek,sthd,SRLSR-s,0.25482317862204446,0.25437637912085886,217.0301470407296
Slate_Creek_Work_Center,Slate Creek,sthd,SRLSR-s,0.22304534343851568,0.2453740549187192,209.3494977915695
NF_Slate_CG,Slate Creek,sthd,SRLSR-s,0.1927149446723574,0.21299663529284218,181.72556444332062
